study	n	exercise	time	dob
Roecker2001	8	rest	0.9312904	1836.4786
Roecker2001	8	rest	0.9333483	1663.9188
Roecker2001	8	rest	1.0612426	1610.1826
Roecker2001	8	rest	1.1263199	1488.5481
Roecker2001	8	rest	1.6040933	1440.5027
Roecker2001	8	rest	1.6043632	1417.8718
Roecker2001	8	rest	2.0190496	1324.5588
Roecker2001	8	rest	2.1467755	1284.9669
Roecker2001	8	rest	2.051639	1259.4983
Roecker2001	8	rest	2.3069553	1191.6299
Roecker2001	8	rest	2.5619678	1149.2211
Roecker2001	8	rest	2.6258307	1129.4252
Roecker2001	8	rest	2.434917	1132.236
Roecker2001	8	rest	2.880776	1092.6741
Roecker2001	8	rest	3.072668	1007.8266
Roecker2001	8	rest	3.1681755	1002.17786
Roecker2001	8	rest	3.2958336	968.2437
Roecker2001	8	rest	3.4232893	951.2826
Roecker2001	8	rest	3.5188642	939.9762
Roecker2001	8	rest	3.4873545	914.51355
Roecker2001	8	rest	3.6468935	874.9246
Roecker2001	8	rest	3.7421985	886.249
Roecker2001	8	rest	4.09201	897.5974
Roecker2001	8	rest	4.028721	869.3029
Roecker2001	8	rest	3.933281	869.29395
Roecker2001	8	rest	4.3149734	874.9876
Roecker2001	8	rest	4.442733	832.5669
Roecker2001	8	rest	4.5384088	812.7739
Roecker2001	8	rest	4.6337814	818.4406
Roecker2001	8	rest	5.1429296	807.1732
Roecker2001	8	rest	5.2064886	812.8369
Roecker2001	8	rest	5.111386	784.5394
Roecker2001	8	rest	5.6840596	781.7646
Roecker2001	8	rest	5.779702	764.8005
Roecker2001	8	rest	5.7162776	747.82135
Roecker2001	8	rest	6.2573066	730.8993
Roecker2001	8	rest	6.416576	713.94116
Roecker2001	8	rest	6.353253	688.4755
Roecker2001	8	rest	6.989283	708.33746
Roecker2001	8	rest	6.862266	688.5235
Roecker2001	8	rest	7.053247	680.05493
Roecker2001	8	rest	6.862536	665.8927
Roecker2001	8	rest	6.990059	643.2739
Roecker2001	8	rest	7.594276	663.1329
Roecker2001	8	rest	7.403565	648.9706
Roecker2001	8	rest	7.8489175	651.84143
Roecker2001	8	rest	7.721968	626.3698
Roecker2001	8	rest	8.167287	632.0695
Roecker2001	8	rest	8.29508	586.8199
Roecker2001	8	rest	8.422131	603.805
Roecker2001	8	rest	8.835839	592.5286
Roecker2001	8	rest	9.154107	581.24316
Roecker2001	8	rest	9.249413	592.56757
Roecker2001	8	rest	9.471971	603.904
Roecker2001	8	rest	9.6312065	589.7747
Roecker2001	8	rest	9.949575	570.0028
Roecker2001	8	rest	10.044813	586.98486
Roecker2001	8	rest	10.394962	570.0448
Roecker2001	8	rest	10.554265	550.2578
Roecker2001	8	rest	10.8084345	578.5703
Roecker2001	8	rest	10.681653	538.9544
Roecker2001	8	rest	10.872702	524.8282
Roecker2001	8	rest	11.031532	544.64514
Roecker2001	8	rest	11.381783	519.2185
Roecker2001	8	rest	11.44524	533.3687
Roecker2001	8	rest	11.349733	539.01746
Roecker2001	8	rest	11.827102	524.91815
Roecker2001	8	rest	11.986472	499.47354
Roecker2001	8	rest	12.113658	505.14322
Roecker2001	8	rest	12.240742	519.2995
Roecker2001	8	rest	12.304808	482.53043
Roecker2001	8	rest	12.590824	508.0171
Roecker2001	8	rest	12.813483	510.8669
Roecker2001	8	rest	12.813753	488.2361
Roecker2001	8	rest	12.941007	488.2481
Roecker2001	8	rest	13.450323	462.83646
Roecker2001	8	rest	13.545493	485.47626
Roecker2001	8	rest	13.704796	465.68933
Roecker2001	8	rest	13.832185	454.38593
Roecker2001	8	rest	13.863525	493.99283
Roecker2001	8	rest	13.99088	485.51828
Roecker2001	8	rest	14.404655	468.58417
Roecker2001	8	rest	14.468417	457.27475
Roecker2001	8	rest	14.62772	437.48782
Roecker2001	8	rest	14.882294	431.85413
Roecker2001	8	rest	14.722924	457.29877
Roecker2001	8	rest	14.690773	485.58426
Roecker2001	8	rest	15.136665	443.1935
Roecker2001	8	rest	15.232004	451.68906
Roecker2001	8	rest	15.4549	434.73697
Roecker2001	8	rest	15.423256	420.58972
Roecker2001	8	rest	15.645746	437.5838
Roecker2001	8	rest	15.900388	426.29242
Roecker2001	8	rest	15.836457	451.74606
Roecker2001	8	rest	16.059185	448.9382
Roecker2001	8	rest	16.409502	417.85385
Roecker2001	8	rest	16.568197	448.9862
Roecker2001	8	rest	16.60028	426.3584
Roecker2001	8	rest	16.854889	417.89584
Roecker2001	8	rest	16.822874	434.86597
Roecker2001	8	rest	17.077717	406.60144
Roecker2001	8	rest	17.395445	440.57764
Roecker2001	8	rest	17.459444	409.4663
Roecker2001	8	rest	17.554682	426.4484
Roecker2001	8	rest	17.650526	392.5112
Roecker2001	8	rest	17.745865	401.00674
Roecker2001	8	rest	18.031881	426.4934
Roecker2001	8	rest	18.222727	429.34024
Roecker2001	8	rest	18.222963	409.5383
Roecker2001	8	rest	18.381895	420.86868
Roecker2001	8	rest	18.318539	398.2319
Roecker2001	8	rest	18.445892	389.75735
Roecker2001	8	rest	18.731874	418.07285
Roecker2001	8	rest	19.050076	412.44513
Roecker2001	8	rest	19.018803	367.18054
Roecker2001	8	rest	19.273174	378.51993
Roecker2001	8	rest	19.591375	372.89224
Roecker2001	8	rest	19.495462	412.48715
Roecker2001	8	rest	19.782154	381.3968
Roecker2001	8	rest	20.036728	375.7631
Roecker2001	8	rest	20.00461	401.21973
Roecker2001	8	rest	20.227674	370.12338
Roecker2001	8	rest	20.545572	389.95532
Roecker2001	8	rest	20.672894	384.30963
Roecker2001	8	rest	20.800484	356.03314
Roecker2001	8	rest	21.022806	387.17148
Roecker2001	8	rest	21.404701	375.8921
Roecker2001	8	rest	21.46826	381.5558
Roecker2001	8	rest	21.373056	361.74484
Roecker2001	8	rest	21.500309	361.75684
Roecker2001	8	rest	21.913477	395.74203
Roecker2001	8	rest	22.200102	370.3094
Roecker2001	8	rest	22.041237	353.3213
Roecker2001	8	rest	22.454742	359.01797
Roecker2001	8	rest	22.518234	370.3394
Roecker2001	8	rest	22.67747	356.2101
Roecker2001	8	rest	22.89986	381.69077
Roecker2001	8	rest	23.091145	347.76257
Roecker2001	8	rest	23.186281	373.23123
Roecker2001	8	rest	23.504448	370.43237
Roecker2001	8	rest	23.568546	330.83447
Roecker2001	8	rest	23.663885	339.33002
Roecker2001	8	rest	23.759224	347.82556
Roecker2001	8	rest	23.854427	367.6365
Roecker2001	8	rest	24.045206	376.14105
Roecker2001	8	rest	24.458916	364.86465
Roecker2001	8	rest	24.649963	350.7384
Roecker2001	8	rest	24.968401	325.30875
Roecker2001	8	rest	25.031893	336.63016
Roecker2001	8	rest	25.222637	347.96356
Roecker2001	8	rest	25.158808	364.93066
Roecker2001	8	rest	25.286062	364.94266
Roecker2001	8	rest	25.4455	333.8403
Roecker2001	8	rest	25.541277	305.5608
Roecker2001	8	rest	25.6047	322.53992
Roecker2001	8	rest	25.954378	345.2037
Roecker2001	8	rest	26.0819	322.5849
Roecker2001	8	rest	26.209053	331.08347
Roecker2001	8	rest	26.145123	356.5371
Roecker2001	8	rest	26.367682	367.8735
Roecker2001	8	rest	26.59051	356.5791
Roecker2001	8	rest	26.717863	348.10455
Roecker2001	8	rest	26.81354	328.31158
Roecker2001	8	rest	26.90871	350.9514
Roecker2001	8	rest	27.322317	348.16156
Roecker2001	8	rest	27.1954	319.86105
Roecker2001	8	rest	27.418161	314.22433
Roecker2001	8	rest	28.181175	356.7291
Roecker2001	8	rest	27.831297	351.0384
Roecker2001	8	rest	27.73599	339.714
Roecker2001	8	rest	28.3088	325.62375
Roecker2001	8	rest	28.467731	336.95413
Roecker2001	8	rest	28.786135	314.35333
Roecker2001	8	rest	29.104166	322.86987
Roecker2001	8	rest	29.326624	342.69284
Roecker2001	8	rest	29.485926	322.90588
Roecker2001	8	rest	29.867685	322.9419
Roecker2001	8	rest	29.994871	328.61157
Roecker2001	8	rest	30.026585	337.10114
