study	n	exercise	time	dob
Roecker2001	8	0.4 max	0.35915658	1793.992
Roecker2001	8	0.4 max	0.4256171	1556.3745
Roecker2001	8	0.4 max	0.45800394	1508.2871
Roecker2001	8	0.4 max	0.45817262	1494.1428
Roecker2001	8	0.4 max	0.49025583	1471.515
Roecker2001	8	0.4 max	0.55432105	1434.746
Roecker2001	8	0.4 max	0.6183188	1403.6346
Roecker2001	8	0.4 max	0.8094686	1381.0219
Roecker2001	8	0.4 max	0.87366885	1332.9374
Roecker2001	8	0.4 max	0.74638176	1335.7542
Roecker2001	8	0.4 max	0.55563676	1324.4208
Roecker2001	8	0.4 max	0.9705595	1211.3058
Roecker2001	8	0.4 max	1.0981164	1185.8582
Roecker2001	8	0.4 max	1.1305369	1134.9419
Roecker2001	8	0.4 max	1.3539724	1072.7281
Roecker2001	8	0.4 max	1.3541411	1058.5839
Roecker2001	8	0.4 max	1.3227664	1021.80585
Roecker2001	8	0.4 max	1.5774417	1007.6856
Roecker2001	8	0.4 max	1.3549508	990.69147
Roecker2001	8	0.4 max	1.5147597	928.4718
Roecker2001	8	0.4 max	1.6100984	936.96735
Roecker2001	8	0.4 max	1.8968569	900.2193
Roecker2001	8	0.4 max	1.9927018	866.2821
Roecker2001	8	0.4 max	2.1524432	809.7201
Roecker2001	8	0.4 max	2.1845262	787.0923
Roecker2001	8	0.4 max	2.3753388	792.768
Roecker2001	8	0.4 max	2.2485914	750.32324
Roecker2001	8	0.4 max	2.471116	764.48846
Roecker2001	8	0.4 max	2.5671632	713.5782
Roecker2001	8	0.4 max	2.822075	679.656
Roecker2001	8	0.4 max	3.0446668	688.1635
Roecker2001	8	0.4 max	3.204442	628.7727
Roecker2001	8	0.4 max	3.3956592	600.5022
Roecker2001	8	0.4 max	3.6186225	577.8924
Roecker2001	8	0.4 max	3.7781613	538.30347
Roecker2001	8	0.4 max	4.414158	560.99426
Roecker2001	8	0.4 max	4.255665	512.8888
Roecker2001	8	0.4 max	4.2878833	478.94562
Roecker2001	8	0.4 max	4.8606915	464.85538
Roecker2001	8	0.4 max	5.020062	439.4107
Roecker2001	8	0.4 max	5.306112	462.0685
Roecker2001	8	0.4 max	5.178386	501.6604
Roecker2001	8	0.4 max	5.115097	473.3659
Roecker2001	8	0.4 max	5.6244473	445.1254
Roecker2001	8	0.4 max	5.624616	430.98117
Roecker2001	8	0.4 max	5.4656844	419.65076
Roecker2001	8	0.4 max	5.7205286	391.38626
Roecker2001	8	0.4 max	5.8158674	399.8818
Roecker2001	8	0.4 max	6.1341357	388.5964
Roecker2001	8	0.4 max	6.3569636	377.302
Roecker2001	8	0.4 max	6.3249145	397.10095
Roecker2001	8	0.4 max	6.4209614	346.19064
Roecker2001	8	0.4 max	6.738926	360.3649
Roecker2001	8	0.4 max	6.9619565	332.0974
Roecker2001	8	0.4 max	6.9296713	371.6983
Roecker2001	8	0.4 max	7.248344	326.4667
Roecker2001	8	0.4 max	7.3757997	309.50558
Roecker2001	8	0.4 max	7.407377	329.31055
Roecker2001	8	0.4 max	7.6299014	343.4758
Roecker2001	8	0.4 max	7.72524	351.97134
Roecker2001	8	0.4 max	7.8214226	289.74564
Roecker2001	8	0.4 max	7.9166937	303.8989
Roecker2001	8	0.4 max	8.171403	286.9498
Roecker2001	8	0.4 max	8.425775	298.28918
Roecker2001	8	0.4 max	8.584504	326.59268
Roecker2001	8	0.4 max	8.617126	258.70328
Roecker2001	8	0.4 max	8.871532	267.21384
Roecker2001	8	0.4 max	9.030869	244.59804
Roecker2001	8	0.4 max	8.871195	295.50235
Roecker2001	8	0.4 max	9.348293	304.03387
Roecker2001	8	0.4 max	9.698274	301.23804
Roecker2001	8	0.4 max	9.762171	278.61322
Roecker2001	8	0.4 max	9.95359	233.36963
Roecker2001	8	0.4 max	10.112083	281.47507
Roecker2001	8	0.4 max	10.430351	270.18967
Roecker2001	8	0.4 max	10.335418	227.74792
Roecker2001	8	0.4 max	10.7172785	219.29738
Roecker2001	8	0.4 max	10.8446665	207.99397
Roecker2001	8	0.4 max	10.812314	253.25258
Roecker2001	8	0.4 max	10.875738	270.2317
Roecker2001	8	0.4 max	11.257869	239.15033
Roecker2001	8	0.4 max	11.289986	213.69368
Roecker2001	8	0.4 max	11.353782	199.55542
Roecker2001	8	0.4 max	11.703188	244.85002
Roecker2001	8	0.4 max	11.989981	205.27312
Roecker2001	8	0.4 max	12.244453	208.12598
Roecker2001	8	0.4 max	12.276536	185.49817
Roecker2001	8	0.4 max	12.658668	154.41681
Roecker2001	8	0.4 max	12.594568	194.01472
Roecker2001	8	0.4 max	12.785077	225.15007
Roecker2001	8	0.4 max	13.071431	222.34822
Roecker2001	8	0.4 max	13.008176	191.22487
Roecker2001	8	0.4 max	13.390104	177.11661
Roecker2001	8	0.4 max	13.517492	165.81322
Roecker2001	8	0.4 max	13.644476	188.45601
Roecker2001	8	0.4 max	13.453157	225.21306
Roecker2001	8	0.4 max	13.962811	171.51291
Roecker2001	8	0.4 max	13.994152	211.11981
Roecker2001	8	0.4 max	14.121372	213.96066
Roecker2001	8	0.4 max	14.344336	191.35086
Roecker2001	8	0.4 max	14.376554	157.40765
Roecker2001	8	0.4 max	14.376385	171.55191
Roecker2001	8	0.4 max	14.535552	163.08035
Roecker2001	8	0.4 max	14.758381	151.78595
Roecker2001	8	0.4 max	14.598774	197.03256
Roecker2001	8	0.4 max	14.7260275	197.04456
Roecker2001	8	0.4 max	15.171481	191.42885
Roecker2001	8	0.4 max	15.330953	157.49765
Roecker2001	8	0.4 max	15.426596	140.53355
Roecker2001	8	0.4 max	15.903661	151.89395
Roecker2001	8	0.4 max	16.030678	171.7079
Roecker2001	8	0.4 max	16.126488	140.59955
Roecker2001	8	0.4 max	16.28552	143.44339
Roecker2001	8	0.4 max	16.381266	117.992744
Roecker2001	8	0.4 max	16.73111	126.5123
Roecker2001	8	0.4 max	16.73084	149.1431
Roecker2001	8	0.4 max	16.794333	160.4645
Roecker2001	8	0.4 max	16.857655	185.93015
Roecker2001	8	0.4 max	17.049177	132.2
Roecker2001	8	0.4 max	17.208344	123.72844
Roecker2001	8	0.4 max	17.208344	123.72844
Roecker2001	8	0.4 max	17.430296	185.98415
Roecker2001	8	0.4 max	17.398954	146.37724
Roecker2001	8	0.4 max	17.526443	126.58729
Roecker2001	8	0.4 max	17.622086	109.62319
Roecker2001	8	0.4 max	17.621918	123.76744
Roecker2001	8	0.4 max	17.748766	157.72565
Roecker2001	8	0.4 max	17.90844	106.821335
Roecker2001	8	0.4 max	17.971897	120.97159
Roecker2001	8	0.4 max	18.035591	115.319885
Roecker2001	8	0.4 max	18.28993	129.48814
Roecker2001	8	0.4 max	18.289862	135.14584
Roecker2001	8	0.4 max	18.416845	157.78864
Roecker2001	8	0.4 max	18.543896	174.77374
Roecker2001	8	0.4 max	18.543661	194.57568
Roecker2001	8	0.4 max	18.51286	109.707184
Roecker2001	8	0.4 max	18.73562	104.07049
Roecker2001	8	0.4 max	18.798807	140.85153
Roecker2001	8	0.4 max	18.925926	152.17894
Roecker2001	8	0.4 max	19.0214	149.35909
Roecker2001	8	0.4 max	19.117008	135.22383
Roecker2001	8	0.4 max	19.180939	109.77018
Roecker2001	8	0.4 max	19.244532	112.605034
Roecker2001	8	0.4 max	19.371954	98.47278
Roecker2001	8	0.4 max	19.434872	157.88463
Roecker2001	8	0.4 max	19.6577	146.59023
Roecker2001	8	0.4 max	19.75331	132.45499
Roecker2001	8	0.4 max	19.785494	101.34063
Roecker2001	8	0.4 max	20.039696	126.82428
Roecker2001	8	0.4 max	20.166815	138.15167
Roecker2001	8	0.4 max	20.389576	132.51498
Roecker2001	8	0.4 max	20.675896	132.54198
Roecker2001	8	0.4 max	20.739859	104.259476
Roecker2001	8	0.4 max	20.803183	129.72513
Roecker2001	8	0.4 max	21.216688	135.42183
Roecker2001	8	0.4 max	21.407534	138.26868
Roecker2001	8	0.4 max	21.4716	101.49962
Roecker2001	8	0.4 max	21.503178	121.30457
Roecker2001	8	0.4 max	22.139208	141.16652
Roecker2001	8	0.4 max	22.171223	124.19642
Roecker2001	8	0.4 max	22.139679	101.562614
Roecker2001	8	0.4 max	22.553152	110.088165
Roecker2001	8	0.4 max	22.83974	87.48436
Roecker2001	8	0.4 max	23.189688	87.517365
Roecker2001	8	0.4 max	23.221197	112.98001
Roecker2001	8	0.4 max	23.443857	115.829865
Roecker2001	8	0.4 max	23.761755	135.6618
Roecker2001	8	0.4 max	23.730549	84.73951
Roecker2001	8	0.4 max	24.048176	127.202255
Roecker2001	8	0.4 max	24.493765	110.27116
Roecker2001	8	0.4 max	24.58934	98.96475
Roecker2001	8	0.4 max	24.68461	113.118004
Roecker2001	8	0.4 max	24.87539	121.62255
Roecker2001	8	0.4 max	25.003149	79.201805
Roecker2001	8	0.4 max	25.321281	79.231804
Roecker2001	8	0.4 max	25.25725	113.172005
Roecker2001	8	0.4 max	25.384504	113.184
Roecker2001	8	0.4 max	26.053022	76.47195
Roecker2001	8	0.4 max	26.657509	73.700096
Roecker2001	8	0.4 max	26.466629	73.6821
Roecker2001	8	0.4 max	26.466494	84.9975
Roecker2001	8	0.4 max	26.497936	116.11784
Roecker2001	8	0.4 max	26.338903	113.273994
Roecker2001	8	0.4 max	26.816204	104.83244
Roecker2001	8	0.4 max	26.943829	73.72709
Roecker2001	8	0.4 max	27.134708	73.745094
Roecker2001	8	0.4 max	27.197796	119.012695
Roecker2001	8	0.4 max	27.547945	102.07259
Roecker2001	8	0.4 max	27.5163	87.92534
Roecker2001	8	0.4 max	27.707315	76.62794
Roecker2001	8	0.4 max	27.803059	51.177288
Roecker2001	8	0.4 max	28.979544	102.20758
Roecker2001	8	0.4 max	28.852562	79.56478
Roecker2001	8	0.4 max	29.52081	65.48353
Roecker2001	8	0.4 max	29.870722	68.345375
Roecker2001	8	0.4 max	29.997976	68.357376
Roecker2001	8	0.4 max	30.029621	82.50463
Roecker2001	8	0.4 max	29.679539	93.78703
Roecker2001	8	0.4 max	28.852898	51.276283
Roecker2001	8	0.4 max	28.057396	65.345535
Roecker2001	8	0.4 max	28.247906	96.48089
Roecker2001	8	0.75 max	0.39096993	1793.9949
Roecker2001	8	0.75 max	0.45746416	1553.5487
Roecker2001	8	0.75 max	0.45810515	1499.8005
Roecker2001	8	0.75 max	0.45800394	1508.2871
Roecker2001	8	0.75 max	0.5220017	1477.1757
Roecker2001	8	0.75 max	0.58741635	1327.2527
Roecker2001	8	0.75 max	0.9076413	1151.8939
Roecker2001	8	0.75 max	0.9721788	1075.521
Roecker2001	8	0.75 max	0.9097667	973.6764
Roecker2001	8	0.75 max	1.1328986	936.92236
Roecker2001	8	0.75 max	1.2284397	928.44476
Roecker2001	8	0.75 max	1.4200956	863.39923
Roecker2001	8	0.75 max	1.4844307	803.9994
Roecker2001	8	0.75 max	1.6755805	781.3866
Roecker2001	8	0.75 max	1.707765	750.2722
Roecker2001	8	0.75 max	1.6124936	736.11896
Roecker2001	8	0.75 max	1.8357267	690.87836
Roecker2001	8	0.75 max	2.0586898	668.26855
Roecker2001	8	0.75 max	2.0591285	631.4935
Roecker2001	8	0.75 max	1.9959404	594.71246
Roecker2001	8	0.75 max	2.1868203	594.73047
Roecker2001	8	0.75 max	2.3779027	577.7754
Roecker2001	8	0.75 max	2.3780713	563.6311
Roecker2001	8	0.75 max	2.6331854	512.73584
Roecker2001	8	0.75 max	2.5061681	492.92188
Roecker2001	8	0.75 max	2.8881643	473.1559
Roecker2001	8	0.75 max	2.7609785	467.48624
Roecker2001	8	0.75 max	3.0160584	419.41977
Roecker2001	8	0.75 max	3.0482092	391.13428
Roecker2001	8	0.75 max	3.175901	354.37122
Roecker2001	8	0.75 max	3.4933934	408.14935
Roecker2001	8	0.75 max	3.5892718	371.38333
Roecker2001	8	0.75 max	3.6848469	360.0769
Roecker2001	8	0.75 max	4.162148	351.63538
Roecker2001	8	0.75 max	3.8763003	312.00446
Roecker2001	8	0.75 max	3.9083834	289.37665
Roecker2001	8	0.75 max	4.099263	289.39465
Roecker2001	8	0.75 max	4.2263145	306.37976
Roecker2001	8	0.75 max	4.4170594	317.71317
Roecker2001	8	0.75 max	4.4495473	261.13916
Roecker2001	8	0.75 max	4.6720047	280.9621
Roecker2001	8	0.75 max	4.6724095	247.01591
Roecker2001	8	0.75 max	4.7999325	224.39711
Roecker2001	8	0.75 max	4.8629184	278.15125
Roecker2001	8	0.75 max	5.149677	241.4032
Roecker2001	8	0.75 max	5.149272	275.3494
Roecker2001	8	0.75 max	5.658724	238.62236
Roecker2001	8	0.75 max	5.3408604	215.96155
Roecker2001	8	0.75 max	5.3091483	207.472
Roecker2001	8	0.75 max	5.6911106	190.5349
Roecker2001	8	0.75 max	6.072634	210.37285
Roecker2001	8	0.75 max	5.9453473	213.1897
Roecker2001	8	0.75 max	6.168243	196.2376
Roecker2001	8	0.75 max	6.041158	182.08134
Roecker2001	8	0.75 max	6.2641215	159.47154
Roecker2001	8	0.75 max	6.3913746	159.48355
Roecker2001	8	0.75 max	6.3279166	145.3333
Roecker2001	8	0.75 max	6.550509	153.84085
Roecker2001	8	0.75 max	6.5816135	213.2497
Roecker2001	8	0.75 max	6.677324	190.6279
Roecker2001	8	0.75 max	6.805083	148.20714
Roecker2001	8	0.75 max	6.9006243	139.7296
Roecker2001	8	0.75 max	7.0271015	204.80515
Roecker2001	8	0.75 max	7.2827888	105.81939
Roecker2001	8	0.75 max	7.4729605	165.24324
Roecker2001	8	0.75 max	7.4733315	134.12589
Roecker2001	8	0.75 max	7.7593813	156.78369
Roecker2001	8	0.75 max	8.013922	153.97884
Roecker2001	8	0.75 max	8.141108	159.64854
Roecker2001	8	0.75 max	8.268361	159.66054
Roecker2001	8	0.75 max	7.918853	122.852486
Roecker2001	8	0.75 max	8.17336	122.87649
Roecker2001	8	0.75 max	8.237223	103.080536
Roecker2001	8	0.75 max	8.364475	103.09254
Roecker2001	8	0.75 max	8.523171	134.22488
Roecker2001	8	0.75 max	8.682238	134.23988
Roecker2001	8	0.75 max	9.127591	137.11073
Roecker2001	8	0.75 max	8.873523	100.31168
Roecker2001	8	0.75 max	9.255451	86.20343
Roecker2001	8	0.75 max	9.573146	123.008484
Roecker2001	8	0.75 max	9.477739	120.17063
Roecker2001	8	0.75 max	9.73228	117.365776
Roecker2001	8	0.75 max	9.796143	97.56983
Roecker2001	8	0.75 max	9.923227	111.72608
Roecker2001	8	0.75 max	10.082159	123.05648
Roecker2001	8	0.75 max	10.114411	86.284424
Roecker2001	8	0.75 max	10.305359	80.64473
Roecker2001	8	0.75 max	10.464223	97.63283
Roecker2001	8	0.75 max	10.495901	108.951225
Roecker2001	8	0.75 max	12.563936	95.00197
Roecker2001	8	0.75 max	10.686646	120.28462
Roecker2001	8	0.75 max	10.909474	108.99023
Roecker2001	8	0.75 max	10.751015	58.055923
Roecker2001	8	0.75 max	11.100861	66.57547
Roecker2001	8	0.75 max	11.355434	60.94177
Roecker2001	8	0.75 max	11.227641	106.19137
Roecker2001	8	0.75 max	11.2911	120.34162
Roecker2001	8	0.75 max	11.736856	89.266266
Roecker2001	8	0.75 max	11.896497	41.19082
Roecker2001	8	0.75 max	11.928243	46.851517
Roecker2001	8	0.75 max	12.278054	58.199917
Roecker2001	8	0.75 max	11.704842	106.23637
Roecker2001	8	0.75 max	12.118516	97.78882
Roecker2001	8	0.75 max	12.659207	109.15521
Roecker2001	8	0.75 max	12.754917	86.53342
Roecker2001	8	0.75 max	12.850897	41.28081
Roecker2001	8	0.75 max	12.946202	52.605213
Roecker2001	8	0.75 max	13.072814	106.365364
Roecker2001	8	0.75 max	13.041237	86.56041
Roecker2001	8	0.75 max	13.422761	106.39836
Roecker2001	8	0.75 max	13.581996	92.26911
Roecker2001	8	0.75 max	14.0591955	92.31411
Roecker2001	8	0.75 max	13.741063	92.28411
Roecker2001	8	0.75 max	13.550756	44.17566
Roecker2001	8	0.75 max	13.932753	24.409706
Roecker2001	8	0.75 max	14.18709	38.577957
Roecker2001	8	0.75 max	14.441462	49.917355
Roecker2001	8	0.75 max	14.345313	109.31421
Roecker2001	8	0.75 max	14.4728365	86.695404
Roecker2001	8	0.75 max	14.822749	89.55725
Roecker2001	8	0.75 max	14.918223	86.737404
Roecker2001	8	0.75 max	14.791712	24.490702
Roecker2001	8	0.75 max	14.728254	10.340452
Roecker2001	8	0.75 max	15.396165	24.547699
Roecker2001	8	0.75 max	15.427304	81.1277
Roecker2001	8	0.75 max	15.618116	86.8034
Roecker2001	8	0.75 max	15.77725	81.1607
Roecker2001	8	0.75 max	15.777858	30.241398
Roecker2001	8	0.75 max	16.15965	27.448545
Roecker2001	8	0.75 max	16.25445	81.205696
Roecker2001	8	0.75 max	16.413416	89.707245
Roecker2001	8	0.75 max	16.541748	-0.8039574
Roecker2001	8	0.75 max	16.79612	10.535441
Roecker2001	8	0.75 max	16.795715	44.481644
Roecker2001	8	0.75 max	16.890785	75.607994
Roecker2001	8	0.75 max	16.954344	81.27169
Roecker2001	8	0.75 max	17.272545	75.64399
Roecker2001	8	0.75 max	17.590475	92.64709
Roecker2001	8	0.75 max	17.495407	61.52074
Roecker2001	8	0.75 max	17.941502	2.1568856
Roecker2001	8	0.75 max	17.97237	81.36769
Roecker2001	8	0.75 max	18.13164	64.409584
Roecker2001	8	0.75 max	18.41796	64.436584
Roecker2001	8	0.75 max	18.576925	72.93813
Roecker2001	8	0.75 max	18.291313	13.505284
Roecker2001	8	0.75 max	18.545752	19.186983
Roecker2001	8	0.75 max	19.054867	10.74843
Roecker2001	8	0.75 max	18.895058	72.96813
Roecker2001	8	0.75 max	19.14953	75.820984
Roecker2001	8	0.75 max	19.245308	47.54148
Roecker2001	8	0.75 max	19.372257	73.01313
Roecker2001	8	0.75 max	19.69056	58.89888
Roecker2001	8	0.75 max	19.849525	67.40043
Roecker2001	8	0.75 max	19.913355	50.433327
Roecker2001	8	0.75 max	19.78654	13.646276
Roecker2001	8	0.75 max	20.51828	10.886423
Roecker2001	8	0.75 max	20.581467	47.667473
Roecker2001	8	0.75 max	20.613045	67.47243
Roecker2001	8	0.75 max	20.740095	84.45753
Roecker2001	8	0.75 max	20.931211	64.67357
Roecker2001	8	0.75 max	21.058533	59.02787
Roecker2001	8	0.75 max	20.932055	-6.0476794
Roecker2001	8	0.75 max	21.536205	19.468967
Roecker2001	8	0.75 max	21.408985	16.628119
Roecker2001	8	0.75 max	21.535799	53.41517
Roecker2001	8	0.75 max	21.726444	73.235115
Roecker2001	8	0.75 max	22.045353	8.201566
Roecker2001	8	0.75 max	22.204184	28.018515
Roecker2001	8	0.75 max	22.267506	53.484165
Roecker2001	8	0.75 max	22.522451	16.733112
Roecker2001	8	0.75 max	22.713501	2.6068618
Roecker2001	8	0.75 max	22.967905	11.117411
Roecker2001	8	0.75 max	22.967772	22.432812
Roecker2001	8	0.75 max	22.9674	53.550163
Roecker2001	8	0.75 max	23.253855	42.26176
Roecker2001	8	0.75 max	23.763205	14.021256
Roecker2001	8	0.75 max	23.858644	14.030256
Roecker2001	8	0.75 max	23.794512	56.45701
Roecker2001	8	0.75 max	24.494911	14.090253
Roecker2001	8	0.75 max	24.685453	42.39675
Roecker2001	8	0.75 max	25.16299	14.15325
Roecker2001	8	0.75 max	25.290413	0.020998888
Roecker2001	8	0.75 max	25.321957	22.654799
Roecker2001	8	0.75 max	25.480854	36.81405
Roecker2001	8	0.75 max	25.640293	5.711697
Roecker2001	8	0.75 max	25.76741	17.039097
Roecker2001	8	0.75 max	26.149103	22.732796
Roecker2001	8	0.75 max	26.085308	36.871044
Roecker2001	8	0.75 max	26.626472	8.633542
Roecker2001	8	0.75 max	26.68993	22.783792
Roecker2001	8	0.75 max	26.817015	36.94004
Roecker2001	8	0.75 max	27.262535	25.66664
Roecker2001	8	0.75 max	27.644127	39.84689
