study	bodyweight	co2_output
Meineke1993	50.9409	5.1623
Meineke1993	60.7877	5.2403
Meineke1993	51.9256	5.7662
Meineke1993	67.7899	5.8442
Meineke1993	59.1466	6.2078
Meineke1993	64.9453	6.5714
Meineke1993	78.1838	6.9935
Meineke1993	72.1663	7.4091
Meineke1993	75.4486	7.5195
Meineke1993	88.0306	7.4870

