study	treatment	percentile	cmax
Meineke1993	A	10	0.0013
Meineke1993	A	25	0.0014
Meineke1993	A	50	0.0015
Meineke1993	A	75	0.0018
Meineke1993	A	90	0.0019
Meineke1993	B	10	0.0011
Meineke1993	B	25	0.0013
Meineke1993	B	50	0.0017
Meineke1993	B	75	0.0019
Meineke1993	B	90	0.0024
Meineke1993	C	10	0.0013
Meineke1993	C	25	0.0014
Meineke1993	C	50	0.0016
Meineke1993	C	75	0.0018
Meineke1993	C	90	0.0021
Meineke1993	D	10	0.0014
Meineke1993	D	25	0.0015
Meineke1993	D	50	0.0017
Meineke1993	D	75	0.0021
Meineke1993	D	90	0.0033
Meineke1993	E	10	0.0013
Meineke1993	E	25	0.0014
Meineke1993	E	50	0.0018
Meineke1993	E	75	0.0022
Meineke1993	E	90	0.0030

